|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 11691|21 11 35|-02 01.7|    14.5|S          |     11691|MCG+00-54-003|              GALAXY|
|UGC 1047 |01 27 51|-02 01.5|    15.0|S0-a       |      1047|MCG+00-04-157|   LENTICULAR GALAXY|
|UGC 11601|20 38 00|-02 01.4|    15.7|S          |     11601|MCG+00-52-041|              GALAXY|
|UGC 1426 |01 56 57|-02 01.4|    15.0|Sc         |      1426|MCG+00-06-004|       SPIRAL GALAXY|
|UGC 8783 |13 52 41|-02 00.8|    15.4|Sb         |      8783|MCG+00-35-000|       SPIRAL GALAXY|
|UGC 11588|20 33 06|-02 00.7|    13.6|IRR        |     11588|MCG+00-52-033|    IRREGULAR GALAXY|
|UGC 3070 |04 31 02|-02 00.6|    14.9|Sb?        |      3070|MCG+00-12-039|       SPIRAL GALAXY|
|UGC 6750 |11 46 40|-01 59.7|    15.0|S          |      6750|MCG+00-30-022|              GALAXY|
|UGC 11867|21 58 53|-01 59.6|    15.4|Sb-c       |     11867|MCG+00-56-005|       SPIRAL GALAXY|
|UGC 455  |00 42 39|-01 59.6|    15.0|COMPACT    |       455|MCG+00-02-131|              GALAXY|
|UGC 1080 |01 30 39|-01 59.5|    14.2|SBa        |      1080|MCG+00-04-165|SPIRAL GALAXY BARRED|
|UGC 12584|23 24 40|-01 59.5|    15.6|DBL SYS    |     12584|MCG+00-59-040|              GALAXY|
|UGC 5745 |10 34 45|-01 58.5|    13.8|SB0-a      |      5745|MCG+00-27-030|SPIRAL GALAXY BARRED|
|UGC 1071 |01 29 45|-01 58.5|    15.7|           |      1071|MCG+00-04-000|              GALAXY|
|UGC 12661|23 33 34|-01 58.4|    15.0|Sa-b       |     12661|MCG+00-60-007|       SPIRAL GALAXY|
|UGC 2508 |03 03 14|-01 58.3|    16.5|Sc         |      2508|MCG+00-08-074|       SPIRAL GALAXY|
|UGC 8127 |13 01 04|-01 58.1|    15.3|DWARF      |      8127|MCG+00-33-027|        DWARF GALAXY|
|UGC 2666 |03 18 50|-01 58.1|    13.8|E-S0       |      2666|MCG+00-09-054|   ELLIPTICAL GALAXY|
|UGC 830  |01 17 51|-01 57.2|    15.6|Sc         |       830|MCG+00-04-072|       SPIRAL GALAXY|
|UGC 12838|23 54 28|-01 56.3|    14.9|Sc         |     12838|MCG+00-60-061|       SPIRAL GALAXY|
|UGC 641  |01 02 33|-01 55.9|    14.7|SBa-b      |       641|MCG+00-03-058|SPIRAL GALAXY BARRED|
|UGC 7606 |12 28 52|-01 55.6|    13.5|SB0/SBa    |      7606|MCG+00-32-014|SPIRAL GALAXY BARRED|
|UGC 639  |01 02 03|-01 54.9|    14.3|SB0-a      |       639|MCG+00-03-057|SPIRAL GALAXY BARRED|
|UGC 11581|20 31 06|-01 54.8|    15.4|SB0/SBa    |     11581|MCG+00-52-027|SPIRAL GALAXY BARRED|
|UGC 1036 |01 27 27|-01 54.5|    14.0|S0         |      1036|MCG+00-04-151|   LENTICULAR GALAXY|
|UGC 4488 |08 35 32|-01 54.4|    15.6|           |      4488|MCG+00-22-000|              GALAXY|
|UGC 2704 |03 22 44|-01 54.3|    14.3|           |      2704|MCG+00-09-000|              GALAXY|
|UGC 5    |00 03 10|-01 54.3|    14.3|SBb/Sc     |         5|MCG+00-01-021|SPIRAL GALAXY BARRED|
|UGC 2611 |03 14 26|-01 53.9|    14.8|S0         |      2611|MCG+00-09-032|   LENTICULAR GALAXY|
|UGC 8786 |13 52 53|-01 53.8|    15.1|Sa-b       |      8786|MCG+00-35-000|       SPIRAL GALAXY|
|UGC 8537 |13 33 41|-01 53.4|    15.3|S          |      8537|MCG+00-35-000|              GALAXY|
|UGC 12774|23 46 04|-01 53.3|    14.7|SBa        |     12774|MCG+00-60-045|SPIRAL GALAXY BARRED|
|UGC 519  |00 50 45|-01 52.7|    13.2|SBb        |       519|MCG+00-03-012|SPIRAL GALAXY BARRED|
