|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 765  |01 13 04|-00 15.1|    13.6|E          |       765|MCG+00-04-039|   ELLIPTICAL GALAXY|
|UGC 753  |01 12 04|-00 15.1|    16.5|           |       753|MCG+00-04-000|              GALAXY|
|UGC 8262 |13 11 22|-00 14.9|    14.3|S          |      8262|MCG+00-34-014|              GALAXY|
|UGC 1926 |02 27 33|-00 14.6|    14.4|S0         |      1926|MCG+00-07-016|   LENTICULAR GALAXY|
|UGC 2247 |02 46 33|-00 14.5|    12.8|SBb        |      2247|MCG+00-08-011|SPIRAL GALAXY BARRED|
|UGC 11516|20 07 52|-00 14.2|    15.5|           |     11516|MCG+00-51-008|              GALAXY|
|UGC 8625 |13 38 28|-00 14.2|    14.7|Sb         |      8625|MCG+00-35-013|       SPIRAL GALAXY|
|UGC 9512 |14 46 16|-00 13.6|    13.1|SBa        |      9512|MCG+00-38-006|SPIRAL GALAXY BARRED|
|UGC 7749 |12 35 10|-00 13.5|    14.0|Sb         |      7749|MCG+00-32-024|       SPIRAL GALAXY|
|UGC 280  |00 28 22|-00 13.4|    16.0|SBb        |       280|MCG+00-02-043|SPIRAL GALAXY BARRED|
|UGC 10441|16 33 10|-00 13.3|    15.3|Sc         |     10441|MCG+00-42-000|       SPIRAL GALAXY|
|UGC 11673|21 04 46|-00 13.0|    15.6|DBL SYS    |     11673|MCG+00-53-000|              GALAXY|
|UGC 2428 |02 57 09|-00 13.0|    16.5|           |      2428|MCG+00-08-056|              GALAXY|
|UGC 2600 |03 13 45|-00 12.8|    14.6|Sa         |      2600|MCG+00-09-027|       SPIRAL GALAXY|
|UGC 5211 |09 44 40|-00 12.8|    15.5|           |      5211|MCG+00-25-012|              GALAXY|
|UGC 5795 |10 39 16|-00 12.6|    14.0|E          |      5795|MCG+00-27-036|   ELLIPTICAL GALAXY|
|UGC 6612 |11 39 04|-00 12.6|    14.9|Sb         |      6612|MCG+00-30-018|       SPIRAL GALAXY|
|UGC 7755 |12 35 34|-00 12.5|    16.5|S          |      7755|MCG+00-32-000|              GALAXY|
|UGC 10288|16 14 22|-00 12.5|    14.7|Sc         |     10288|MCG+00-41-009|       SPIRAL GALAXY|
|UGC 866  |01 20 10|-00 12.3|    15.6|           |       866|MCG+00-04-087|              GALAXY|
|UGC 5299 |09 52 40|-00 12.1|    17.0|           |      5299|MCG+00-25-000|              GALAXY|
|UGC 7018 |12 02 28|-00 11.7|    14.6|E-S0       |      7018|MCG+00-31-020|   ELLIPTICAL GALAXY|
|UGC 11663|21 01 10|-00 11.2|    14.0|Sb         |     11663|MCG+00-53-016|       SPIRAL GALAXY|
|UGC 11631|20 48 04|-00 10.9|    15.0|IRR        |     11631|MCG+00-53-007|    IRREGULAR GALAXY|
|UGC 2388 |02 55 09|-00 10.9|    13.2|E          |      2388|MCG+00-08-047|   ELLIPTICAL GALAXY|
|UGC 2389 |02 55 09|-00 10.9|    13.2|E          |      2389|MCG+00-08-048|   ELLIPTICAL GALAXY|
|UGC 663  |01 04 34|-00 09.9|    16.0|E          |       663|MCG+00-03-000|   ELLIPTICAL GALAXY|
|UGC 3018 |04 20 57|-00 09.9|    15.3|S          |      3018|MCG+00-12-012|              GALAXY|
|UGC 1382 |01 54 40|-00 09.3|    14.7|E?         |      1382|MCG+00-05-048|   ELLIPTICAL GALAXY|
|UGC 847  |01 19 10|-00 09.3|    16.5|           |       847|MCG+00-04-078|              GALAXY|
|UGC 2652 |03 17 58|-00 09.1|    13.9|SB         |      2652|MCG+00-09-050|SPIRAL GALAXY BARRED|
|UGC 3103 |04 36 34|-00 09.0|    13.6|Sc         |      3103|MCG+00-12-052|       SPIRAL GALAXY|
|UGC 3271 |05 16 10|-00 08.7|    14.6|           |      3271|MCG+00-14-018|              GALAXY|
|UGC 11537|20 18 40|-00 08.6|    14.8|Sc         |     11537|MCG+00-51-013|       SPIRAL GALAXY|
|UGC 3301 |05 22 58|-00 08.2|    15.5|SB0-a      |      3301|MCG+00-14-021|SPIRAL GALAXY BARRED|
|UGC 9792 |15 16 04|-00 08.0|    15.1|DWARF      |      9792|MCG+00-39-016|        DWARF GALAXY|
|UGC 10229|16 09 52|-00 07.8|    17.0|DWRF IR    |     10229|MCG+00-41-000|        DWARF GALAXY|
|UGC 10505|16 41 34|-00 07.7|    15.7|S          |     10505|MCG+00-42-000|              GALAXY|
|UGC 461  |00 43 28|-00 07.6|    13.6|Sb-c       |       461|MCG+00-02-136|       SPIRAL GALAXY|
|UGC 1526 |02 02 16|-00 07.6|    14.7|Sc         |      1526|MCG+00-06-024|       SPIRAL GALAXY|
|UGC 3214 |04 57 58|-00 07.4|    14.4|Sb         |      3214|MCG+00-13-048|       SPIRAL GALAXY|
|UGC 12174|22 44 28|-00 07.2|    13.8|Sa         |     12174|MCG+00-58-001|       SPIRAL GALAXY|
|UGC 10264|16 12 52|-00 06.6|    14.9|S          |     10264|MCG+00-41-006|              GALAXY|
|UGC 12578|23 24 22|-00 06.5|    15.1|S          |     12578|MCG+00-59-038|              GALAXY|
|UGC 7870 |12 42 34|-00 06.4|    12.6|Sc         |      7870|MCG+00-32-038|       SPIRAL GALAXY|
|UGC 2713 |03 23 40|-00 06.4|    15.3|TRP SYS    |      2713|MCG+00-09-077|              GALAXY|
|UGC 6200 |11 09 22|-00 06.3|    14.5|Sa         |      6200|MCG+00-29-003|       SPIRAL GALAXY|
|UGC 1527 |02 02 16|-00 05.6|    14.2|SBa        |      1527|MCG+00-06-023|SPIRAL GALAXY BARRED|
|UGC 771  |01 13 40|-00 05.1|    15.0|Sa-b       |       771|MCG+00-04-044|       SPIRAL GALAXY|
|UGC 9006 |14 05 10|-00 04.3|    15.3|S          |      9006|MCG+00-36-000|              GALAXY|
|UGC 2645 |03 17 28|-00 04.1|    15.7|Sb         |      2645|MCG+00-09-045|       SPIRAL GALAXY|
|UGC 7800 |12 38 10|-00 02.5|    14.9|S          |      7800|MCG+00-32-027|              GALAXY|
|UGC 961  |01 24 34|-00 02.4|    16.0|S          |       961|MCG+00-04-000|              GALAXY|
|UGC 9299 |14 29 34|-00 02.3|    14.7|Sc         |      9299|MCG+00-37-012|       SPIRAL GALAXY|
|UGC 12183|22 47 04|-00 02.2|    15.5|S          |     12183|MCG+00-58-003|              GALAXY|
|UGC 8121 |13 00 58|-00 02.1|    13.2|SBc        |      8121|MCG+00-33-026|SPIRAL GALAXY BARRED|
|UGC 6150 |11 05 52|-00 01.2|    10.1|Sb         |      6150|MCG+00-28-030|       SPIRAL GALAXY|
|UGC 821  |01 16 10|-00 01.2|    16.0|S          |       821|MCG+00-04-066|              GALAXY|
|UGC 6998 |12 00 52|-00 00.7|    17.0|DWRF SP    |      6998|MCG+00-31-000|        DWARF GALAXY|
|UGC 2188 |02 42 40|-00 00.3|     9.7|Sb         |      2188|MCG+00-07-083|       SPIRAL GALAXY|
|UGC 12589|23 25 04|+00 00.5|    15.6|S-IRR      |     12589|MCG+00-59-042|              GALAXY|
|UGC 4431 |08 28 10|+00 01.0|    15.1|Sb-c       |      4431|MCG+00-22-013|       SPIRAL GALAXY|
|UGC 2479 |03 00 46|+00 01.8|    16.0|           |      2479|MCG+00-08-065|              GALAXY|
|UGC 12068|22 32 10|+00 02.5|    15.6|Sb         |     12068|MCG+00-57-003|       SPIRAL GALAXY|
|UGC 3895 |07 31 16|+00 02.6|    17.0|DWARF      |      3895|MCG+00-19-000|        DWARF GALAXY|
|UGC 1159 |01 37 40|+00 03.2|    15.5|S          |      1159|MCG+00-05-016|              GALAXY|
|UGC 12685|23 35 16|+00 03.6|    16.0|Sc         |     12685|MCG+00-60-012|       SPIRAL GALAXY|
|UGC 8041 |12 55 10|+00 03.8|    13.6|Sc         |      8041|MCG+00-33-021|       SPIRAL GALAXY|
|UGC 3164 |04 47 04|+00 04.3|    15.6|S IV-V     |      3164|MCG+00-13-007|              GALAXY|
|UGC 5439 |10 05 34|+00 04.4|    15.5|DWARF      |      5439|MCG+00-26-017|        DWARF GALAXY|
|UGC 12637|23 30 28|+00 04.6|    14.8|Sa         |     12637|MCG+00-59-050|       SPIRAL GALAXY|
|UGC 5099 |09 34 34|+00 05.6|    14.7|S          |      5099|MCG+00-25-003|              GALAXY|
|UGC 894  |01 21 22|+00 05.7|    14.8|S          |       894|MCG+00-04-097|              GALAXY|
|UGC 2324 |02 50 16|+00 06.4|    14.9|SBb        |      2324|MCG+00-08-029|SPIRAL GALAXY BARRED|
|UGC 2721 |03 24 22|+00 06.6|    17.0|           |      2721|MCG+00-09-080|              GALAXY|
|UGC 3331 |05 37 52|+00 06.7|    16.0|Sb         |      3331|MCG+00-15-001|       SPIRAL GALAXY|
|UGC 5867 |10 45 10|+00 07.2|    15.0|SBb        |      5867|MCG+00-28-004|SPIRAL GALAXY BARRED|
|UGC 7694 |12 32 46|+00 07.5|    12.4|Sc         |      7694|MCG+00-32-020|       SPIRAL GALAXY|
|UGC 998  |01 25 34|+00 07.6|    16.5|IRR        |       998|MCG+00-04-134|    IRREGULAR GALAXY|
|UGC 3116 |04 38 46|+00 07.9|    15.7|S          |      3116|MCG+00-12-062|              GALAXY|
|UGC 6877 |11 54 16|+00 08.3|    13.7|           |      6877|MCG+00-30-034|              GALAXY|
|UGC 6568 |11 35 40|+00 08.4|    14.4|S          |      6568|MCG+00-30-014|              GALAXY|
|UGC 12363|23 06 28|+00 09.2|    14.6|S          |     12363|MCG+00-58-032|              GALAXY|
|UGC 12635|23 30 22|+00 09.6|    15.6|Sc         |     12635|MCG+00-59-049|       SPIRAL GALAXY|
|UGC 2705 |03 22 46|+00 09.7|    15.0|Sc         |      2705|MCG+00-09-072|       SPIRAL GALAXY|
|UGC 10045|15 49 21|+00 09.9|    15.5|S          |     10045|MCG+00-40-000|              GALAXY|
|UGC 7487 |12 24 28|+00 10.4|    14.9|SB         |      7487|MCG+00-32-006|SPIRAL GALAXY BARRED|
|UGC 6329 |11 18 58|+00 10.6|    15.4|Sc         |      6329|MCG+00-29-014|       SPIRAL GALAXY|
|UGC 12348|23 05 16|+00 11.2|    15.5|Sa         |     12348|MCG+00-58-028|       SPIRAL GALAXY|
|UGC 1107 |01 33 04|+00 11.4|    17.0|DWARF      |      1107|MCG+00-05-000|        DWARF GALAXY|
|UGC 737  |01 10 52|+00 11.9|    15.7|S          |       737|MCG+00-04-024|              GALAXY|
|UGC 3433 |06 15 10|+00 12.0|    16.0|S          |      3433|MCG+00-16-001|              GALAXY|
|UGC 2522 |03 04 52|+00 12.6|    16.0|Sb         |      2522|MCG+00-08-083|       SPIRAL GALAXY|
|UGC 10948|17 42 33|+00 12.6|    15.5|S          |     10948|MCG+00-45-001|              GALAXY|
|UGC 10046|15 49 27|+00 12.9|    15.1|DBL SYS    |     10046|MCG+00-40-011|              GALAXY|
|UGC 5772 |10 36 58|+00 13.4|    14.7|S          |      5772|MCG+00-27-031|              GALAXY|
|UGC 5388 |10 01 10|+00 13.5|    15.0|S?         |      5388|MCG+00-26-010|              GALAXY|
|UGC 10306|16 16 45|+00 13.6|    14.8|Sb         |     10306|MCG+00-41-011|       SPIRAL GALAXY|
|UGC 4467 |08 32 46|+00 13.7|    15.5|S          |      4467|MCG+00-22-000|              GALAXY|
|UGC 11626|20 46 34|+00 14.0|    16.0|Sc-IRR     |     11626|MCG+00-53-000|       SPIRAL GALAXY|
|UGC 3231 |05 02 34|+00 14.2|    14.9|Sc         |      3231|MCG+00-13-063|       SPIRAL GALAXY|
|UGC 12446|23 14 40|+00 14.4|    14.4|           |     12446|MCG+00-59-011|              GALAXY|
|UGC 9326 |14 30 45|+00 14.7|    15.5|           |      9326|MCG+00-37-000|              GALAXY|
|UGC 9327 |14 30 45|+00 14.7|    15.5|S          |      9327|MCG+00-37-000|              GALAXY|
|UGC 3178 |04 49 34|+00 15.1|    13.9|S0         |      3178|MCG+00-13-015|   LENTICULAR GALAXY|
|UGC 3233 |05 03 04|+00 15.2|    15.3|Sc         |      3233|MCG+00-13-064|       SPIRAL GALAXY|
|UGC 3174 |04 48 34|+00 15.2|    17.0|DWRF IR    |      3174|MCG+00-13-014|        DWARF GALAXY|
|UGC 12493|23 18 58|+00 15.4|    14.4|S          |     12493|MCG+00-59-021|              GALAXY|
|UGC 5097 |09 34 10|+00 15.6|    13.9|PECULR     |      5097|MCG+00-25-001|              GALAXY|
|UGC 1824 |02 21 40|+00 15.7|    15.6|S0-a       |      1824|MCG+00-07-006|   LENTICULAR GALAXY|
|UGC 1333 |01 51 46|+00 15.8|    15.7|S          |      1333|MCG+00-05-041|              GALAXY|
|UGC 5973 |10 51 34|+00 16.1|    16.0|SB?a-b     |      5973|MCG+00-28-000|SPIRAL GALAXY BARRED|
|UGC 4251 |08 09 10|+00 16.2|    14.7|E-S0       |      4251|MCG+00-21-006|   ELLIPTICAL GALAXY|
|UGC 2018 |02 32 40|+00 16.2|    14.3|S          |      2018|MCG+00-07-040|              GALAXY|
|UGC 9348 |14 32 27|+00 16.8|    14.6|S          |      9348|MCG+00-37-016|              GALAXY|
|UGC 757  |01 12 34|+00 16.9|    16.0|SB         |       757|MCG+00-04-034|SPIRAL GALAXY BARRED|
|UGC 11566|20 28 16|+00 17.0|    14.2|           |     11566|MCG+00-52-015|              GALAXY|
|UGC 11541|20 22 22|+00 17.6|    16.5|SBc        |     11541|MCG+00-52-003|SPIRAL GALAXY BARRED|
|UGC 2208 |02 43 34|+00 17.7|    14.3|Sa-b       |      2208|MCG+00-07-088|       SPIRAL GALAXY|
|UGC 11629|20 47 28|+00 18.1|    14.2|E          |     11629|MCG+00-53-005|   ELLIPTICAL GALAXY|
|UGC 4248 |08 08 52|+00 18.2|    14.9|Sa/SBa     |      4248|MCG+00-21-005|       SPIRAL GALAXY|
|UGC 1998 |02 31 40|+00 18.2|    16.0|Sc         |      1998|MCG+00-07-032|       SPIRAL GALAXY|
|UGC 12702|23 36 34|+00 18.6|    12.9|SBb        |     12702|MCG+00-60-019|SPIRAL GALAXY BARRED|
|UGC 11628|20 47 22|+00 19.1|    13.5|Sa         |     11628|MCG+00-53-003|       SPIRAL GALAXY|
|UGC 1011 |01 26 04|+00 19.6|    16.5|S-IRR      |      1011|MCG+00-04-000|              GALAXY|
|UGC 5083 |09 32 22|+00 19.7|    15.3|S          |      5083|MCG+00-25-000|              GALAXY|
|UGC 5180 |09 42 04|+00 20.3|    12.2|Sc         |      5180|MCG+00-25-007|       SPIRAL GALAXY|
|UGC 8391 |13 21 22|+00 20.3|    14.5|Sa         |      8391|MCG+00-34-031|       SPIRAL GALAXY|
|UGC 6665 |11 42 16|+00 20.4|    13.7|PECULR     |      6665|MCG+00-30-019|              GALAXY|
|UGC 6432 |11 25 16|+00 20.5|    15.2|S          |      6432|MCG+00-29-030|              GALAXY|
|UGC 3145 |04 44 16|+00 20.5|    15.4|SBb-c      |      3145|MCG+00-13-001|SPIRAL GALAXY BARRED|
|UGC 2779 |03 32 10|+00 21.1|    15.0|Sa-b       |      2779|MCG+00-10-002|       SPIRAL GALAXY|
|UGC 4684 |08 56 40|+00 21.4|    14.7|Sc         |      4684|MCG+00-23-018|       SPIRAL GALAXY|
|UGC 7813 |12 39 04|+00 21.5|    14.4|COMPACT    |      7813|MCG+00-32-031|              GALAXY|
|UGC 1962 |02 28 58|+00 22.4|    14.6|Sc         |      1962|MCG+00-07-024|       SPIRAL GALAXY|
|UGC 3457 |06 21 46|+00 22.5|    15.0|S0-a       |      3457|MCG+00-17-001|   LENTICULAR GALAXY|
|UGC 12837|23 54 10|+00 22.7|    14.1|DBL SYS    |     12837|MCG+00-60-058|              GALAXY|
|UGC 7280 |12 15 52|+00 23.3|    14.8|S          |      7280|MCG+00-31-043|              GALAXY|
|UGC 7685 |12 32 28|+00 23.5|    14.1|           |      7685|MCG+00-32-019|              GALAXY|
|UGC 12151|22 41 34|+00 23.7|    16.0|DWARF      |     12151|MCG+00-57-007|        DWARF GALAXY|
|UGC 11630|20 47 33|+00 24.1|    14.3|S?         |     11630|MCG+00-53-006|              GALAXY|
|UGC 12709|23 37 28|+00 24.6|    15.7|DWRF SP    |     12709|MCG+00-60-022|        DWARF GALAXY|
|UGC 3306 |05 25 16|+00 24.6|    15.0|E-S0       |      3306|MCG+00-14-022|   ELLIPTICAL GALAXY|
|UGC 3258 |05 10 40|+00 24.7|    13.9|SB         |      3258|MCG+00-14-000|SPIRAL GALAXY BARRED|
|UGC 2081 |02 35 58|+00 25.0|    15.1|Sc         |      2081|MCG+00-07-048|       SPIRAL GALAXY|
|UGC 2024 |02 32 58|+00 25.2|    14.5|Sa-b       |      2024|MCG+00-07-041|       SPIRAL GALAXY|
|UGC 5195 |09 43 10|+00 25.2|    15.4|Sb-c       |      5195|MCG+00-25-000|       SPIRAL GALAXY|
|UGC 2271 |02 47 40|+00 25.5|    15.6|SBb        |      2271|MCG+00-08-016|SPIRAL GALAXY BARRED|
|UGC 976  |01 25 04|+00 25.6|    14.9|           |       976|MCG+00-04-125|              GALAXY|
|UGC 2173 |02 41 40|+00 25.8|    12.5|Sb         |      2173|MCG+00-07-081|       SPIRAL GALAXY|
|UGC 797  |01 14 58|+00 25.8|    15.5|E          |       797|MCG+00-04-057|   ELLIPTICAL GALAXY|
|UGC 5493 |10 11 22|+00 26.2|    14.0|Sb/SBc     |      5493|MCG+00-26-026|       SPIRAL GALAXY|
|UGC 7332 |12 17 58|+00 26.3|    15.4|DWRF IR    |      7332|MCG+00-31-045|        DWARF GALAXY|
|UGC 11780|21 37 03|+00 26.5|    15.6|S          |     11780|MCG+00-55-008|              GALAXY|
|UGC 11816|21 49 04|+00 27.0|    14.8|SBb-c      |     11816|MCG+00-55-018|SPIRAL GALAXY BARRED|
|UGC 514  |00 50 34|+00 27.3|    16.0|           |       514|MCG+00-03-000|              GALAXY|
|UGC 9979 |15 42 21|+00 27.5|    15.7|DWRF IR    |      9979|MCG+00-40-008|        DWARF GALAXY|
|UGC 6361 |11 20 52|+00 27.6|    14.3|TRP SYS    |      6361|MCG+00-29-022|              GALAXY|
|UGC 5715 |10 31 34|+00 27.6|    14.3|Sb-c       |      5715|MCG+00-27-026|       SPIRAL GALAXY|
|UGC 1001 |01 25 40|+00 27.6|    16.5|S          |      1001|MCG+00-04-136|              GALAXY|
|UGC 9742 |15 09 51|+00 27.6|    13.5|S0         |      9742|MCG+00-39-006|   LENTICULAR GALAXY|
|UGC 11567|20 28 15|+00 28.0|    15.5|           |     11567|MCG+00-52-014|              GALAXY|
|UGC 7911 |12 44 28|+00 28.6|    14.9|DWRF SP    |      7911|MCG+00-33-007|        DWARF GALAXY|
|UGC 6890 |11 55 16|+00 29.3|    17.0|DWRF IR    |      6890|MCG+00-31-000|        DWARF GALAXY|
|UGC 1934 |02 27 52|+00 29.4|    15.5|Sb-c       |      1934|MCG+00-07-018|       SPIRAL GALAXY|
|UGC 2995 |04 15 34|+00 29.4|    17.0|Sc         |      2995|MCG+00-11-000|       SPIRAL GALAXY|
|UGC 5238 |09 46 52|+00 30.1|    15.3|Sc         |      5238|MCG+00-25-015|       SPIRAL GALAXY|
|UGC 12757|23 44 04|+00 30.7|    14.4|SBb        |     12757|MCG+00-60-038|SPIRAL GALAXY BARRED|
|UGC 10081|15 54 21|+00 31.2|    13.3|Sa         |     10081|MCG+00-40-013|       SPIRAL GALAXY|
|UGC 1457 |01 58 40|+00 31.6|    14.3|Sb         |      1457|MCG+00-06-016|       SPIRAL GALAXY|
|UGC 9743 |15 09 51|+00 31.6|    15.2|S0         |      9743|MCG+00-39-007|   LENTICULAR GALAXY|
|UGC 8628 |13 38 33|+00 31.8|    15.1|Sa?        |      8628|MCG+00-35-014|       SPIRAL GALAXY|
|UGC 5521 |10 13 58|+00 32.1|    15.0|Sc         |      5521|MCG+00-26-032|       SPIRAL GALAXY|
|UGC 3086 |04 32 52|+00 32.3|    18.0|DWRF SP    |      3086|MCG+00-12-000|        DWARF GALAXY|
|UGC 8631 |13 38 45|+00 32.8|    15.6|           |      8631|MCG+00-35-000|              GALAXY|
|UGC 3246 |05 05 58|+00 33.0|    15.0|S          |      3246|MCG+00-13-070|              GALAXY|
|UGC 3082 |04 32 04|+00 33.3|    14.8|S0         |      3082|MCG+00-12-044|   LENTICULAR GALAXY|
|UGC 1018 |01 26 34|+00 33.6|    18.0|DWARF      |      1018|MCG+00-04-000|        DWARF GALAXY|
|UGC 5370 |09 59 34|+00 33.6|    16.0|Sb         |      5370|MCG+00-26-000|       SPIRAL GALAXY|
|UGC 12847|23 55 58|+00 33.7|    15.7|VY CMPT    |     12847|MCG+00-01-001|              GALAXY|
|UGC 12849|23 56 10|+00 33.7|    15.7|S          |     12849|MCG+00-01-005|              GALAXY|
|UGC 1809 |02 20 52|+00 33.7|    15.1|S0-a       |      1809|MCG+00-07-005|   LENTICULAR GALAXY|
|UGC 9889 |15 33 09|+00 33.9|    15.4|S          |      9889|MCG+00-40-000|              GALAXY|
|UGC 11882|22 03 15|+00 34.5|    14.4|SBb        |     11882|MCG+00-56-007|SPIRAL GALAXY BARRED|
|UGC 2346 |02 51 52|+00 35.3|    15.7|Sb-c       |      2346|MCG+00-08-036|       SPIRAL GALAXY|
|UGC 7515 |12 25 46|+00 35.4|    12.4|SB0        |      7515|MCG+00-32-009|SPIRAL GALAXY BARRED|
|UGC 3140 |04 42 52|+00 35.6|    13.6|Sc         |      3140|MCG+00-12-072|       SPIRAL GALAXY|
|UGC 4254 |08 09 22|+00 36.1|    14.4|S-IRR      |      4254|MCG+00-21-008|              GALAXY|
|UGC 611  |00 58 52|+00 36.2|    14.5|PECULR     |       611|MCG+00-03-047|              GALAXY|
|UGC 11533|20 16 57|+00 36.3|    17.0|DWRF IR    |     11533|MCG+00-51-011|        DWARF GALAXY|
|UGC 3161 |04 46 34|+00 36.3|    16.5|Sc         |      3161|MCG+00-13-000|       SPIRAL GALAXY|
|UGC 2842 |03 43 52|+00 36.4|    15.3|Sc         |      2842|MCG+00-10-016|       SPIRAL GALAXY|
|UGC 4493 |08 36 04|+00 36.6|    15.7|S          |      4493|MCG+00-22-000|              GALAXY|
|UGC 83   |00 09 22|+00 36.7|    16.5|Sb         |        83|MCG+00-01-000|       SPIRAL GALAXY|
|UGC 12865|23 57 46|+00 36.7|    15.7|Sa-b       |     12865|MCG+00-01-010|       SPIRAL GALAXY|
|UGC 5269 |09 49 52|+00 37.0|    13.5|S          |      5269|MCG+00-25-022|              GALAXY|
|UGC 5265 |09 49 40|+00 37.0|    14.2|S          |      5265|MCG+00-25-021|              GALAXY|
|UGC 2019 |02 32 40|+00 37.2|    14.4|PECULR     |      2019|MCG+00-07-039|              GALAXY|
|UGC 5443 |10 05 52|+00 38.4|    14.2|DBL SYS    |      5443|MCG+00-26-018|              GALAXY|
|UGC 10513|16 42 51|+00 38.4|    16.0|Sc         |     10513|MCG+00-43-000|       SPIRAL GALAXY|
|UGC 11645|20 53 27|+00 38.4|    15.5|Sb-c       |     11645|MCG+00-53-000|       SPIRAL GALAXY|
|UGC 1911 |02 26 34|+00 38.5|    16.5|Sc         |      1911|MCG+00-07-014|       SPIRAL GALAXY|
|UGC 4285 |08 13 46|+00 38.9|    15.2|Sc         |      4285|MCG+00-21-010|       SPIRAL GALAXY|
|UGC 3237 |05 03 28|+00 39.2|    15.2|Sc         |      3237|MCG+00-13-065|       SPIRAL GALAXY|
|UGC 9470 |14 41 45|+00 39.2|    14.9|           |      9470|MCG+00-37-027|              GALAXY|
|UGC 3064 |04 30 46|+00 39.4|    14.1|COMPACT    |      3064|MCG+00-12-037|              GALAXY|
|UGC 3063 |04 30 40|+00 39.4|    13.3|E          |      3063|MCG+00-12-035|   ELLIPTICAL GALAXY|
|UGC 11546|20 23 15|+00 39.7|    14.5|COMPACT    |     11546|MCG+00-52-004|              GALAXY|
|UGC 11612|20 40 51|+00 39.7|    15.7|Sb-c       |     11612|MCG+00-52-046|       SPIRAL GALAXY|
|UGC 8265 |13 11 33|+00 40.1|    14.4|SB         |      8265|MCG+00-34-015|SPIRAL GALAXY BARRED|
|UGC 9482 |14 42 51|+00 40.3|    15.4|Sc         |      9482|MCG+00-38-000|       SPIRAL GALAXY|
|UGC 1143 |01 35 58|+00 40.3|    14.1|SBb        |      1143|MCG+00-05-014|SPIRAL GALAXY BARRED|
|UGC 2216 |02 44 28|+00 40.6|    16.0|IRR        |      2216|MCG+00-08-003|    IRREGULAR GALAXY|
|UGC 2403 |02 55 52|+00 41.1|    14.9|SB         |      2403|MCG+00-08-050|SPIRAL GALAXY BARRED|
|UGC 4492 |08 35 52|+00 41.6|    13.9|Sa         |      4492|MCG+00-22-023|       SPIRAL GALAXY|
|UGC 5307 |09 53 22|+00 41.8|    13.8|S0         |      5307|MCG+00-25-030|   LENTICULAR GALAXY|
|UGC 10230|16 09 57|+00 42.2|    13.0|Sc         |     10230|MCG+00-41-004|       SPIRAL GALAXY|
|UGC 9977 |15 42 03|+00 42.5|    14.7|Sc         |      9977|MCG+00-40-007|       SPIRAL GALAXY|
|UGC 7820 |12 39 16|+00 42.5|    14.6|Sc         |      7820|MCG+00-32-033|       SPIRAL GALAXY|
|UGC 2091 |02 36 22|+00 43.0|    15.1|Sc         |      2091|MCG+00-07-050|       SPIRAL GALAXY|
|UGC 6959 |11 58 28|+00 43.3|    15.4|CHAIN      |      6959|MCG+00-31-008|              GALAXY|
|UGC 3141 |04 43 04|+00 43.6|    15.3|S          |      3141|MCG+00-12-073|              GALAXY|
|UGC 7250 |12 14 46|+00 44.3|    15.3|S          |      7250|MCG+00-31-000|              GALAXY|
|UGC 3215 |04 58 17|+00 44.5|    14.8|S0         |      3215|MCG+00-13-050|   LENTICULAR GALAXY|
|UGC 4319 |08 17 59|+00 44.6|    13.5|SBa        |      4319|MCG+00-21-012|SPIRAL GALAXY BARRED|
|UGC 12393|23 09 22|+00 45.3|    15.2|SBb        |     12393|MCG+00-59-003|SPIRAL GALAXY BARRED|
|UGC 2921 |04 00 10|+00 45.4|    17.0|           |      2921|MCG+00-11-005|              GALAXY|
|UGC 3058 |04 29 34|+00 45.5|    15.6|SB         |      3058|MCG+00-12-032|SPIRAL GALAXY BARRED|
|UGC 10005|15 45 15|+00 45.7|    15.7|Sc?        |     10005|MCG+00-40-009|       SPIRAL GALAXY|
|UGC 3769 |07 14 59|+00 45.7|    15.7|S          |      3769|MCG+00-19-000|              GALAXY|
|UGC 11646|20 54 09|+00 46.4|    15.2|S          |     11646|MCG+00-53-000|              GALAXY|
|UGC 6180 |11 07 34|+00 46.8|    14.8|Sa         |      6180|MCG+00-28-031|       SPIRAL GALAXY|
|UGC 675  |01 06 10|+00 47.0|    17.0|DWARF      |       675|MCG+00-03-071|        DWARF GALAXY|
|UGC 5823 |10 41 52|+00 47.3|    14.9|IRR        |      5823|MCG+00-27-041|    IRREGULAR GALAXY|
|UGC 8784 |13 52 39|+00 48.2|    14.2|E-S0       |      8784|MCG+00-35-023|   ELLIPTICAL GALAXY|
|UGC 7396 |12 20 34|+00 48.4|    15.0|Sc-IRR     |      7396|MCG+00-32-002|       SPIRAL GALAXY|
|UGC 6523 |11 32 22|+00 48.4|    13.7|           |      6523|MCG+00-30-006|              GALAXY|
|UGC 10290|16 14 33|+00 48.5|    15.0|DWRF SP    |     10290|MCG+00-41-010|        DWARF GALAXY|
|UGC 4179 |08 02 05|+00 48.6|    15.5|SBb        |      4179|MCG+00-21-002|SPIRAL GALAXY BARRED|
|UGC 10307|16 16 57|+00 48.7|    14.7|S0         |     10307|MCG+00-41-012|   LENTICULAR GALAXY|
|UGC 12346|23 05 10|+00 49.2|    15.7|Sc         |     12346|MCG+00-58-026|       SPIRAL GALAXY|
