|name          |ra      |dec     |maj_axis|mag    |cat_num  |cdec     |cra     |
|MCG+00-02-046 |00 28 28|+00 46.6|    4.00|   15.5|         |+004635.0|002827.8|
|MCG+00-02-047 |00 28 40|+03 26.6|    4.00|   15.0|         |+032634.9|002840.1|
|MCG+00-02-048 |00 28 40|+02 50.6|   19.00|   13.0|NGC  125 |+025034.9|002840.1|
|MCG+00-02-049 |00 29 01|+02 48.6|    8.00|   14.5|NGC  126 |+024834.7|002901.1|
|MCG+00-02-050 |00 29 04|+02 52.6|    4.50|   15.0|NGC  127 |+025234.7|002904.1|
|MCG+00-02-051 |00 29 07|+02 52.6|   24.00|   12.7|NGC  128 |+025234.6|002907.1|
|MCG+00-02-052 |00 29 10|+02 52.6|    5.00|   15.0|NGC  130 |+025234.6|002910.1|
|MCG+00-02-053 |00 29 10|-00 09.4|    4.00|   14.5|IC   21  |-000925.4|002909.6|
|MCG+00-02-054 |00 29 28|-00 13.4|    5.00|   15.0|         |-001325.5|002927.6|
|MCG+00-02-055 |00 29 31|-00 14.4|    3.00|   15.5|         |-001425.6|002930.6|
|MCG+00-02-056 |00 29 34|-01 05.4|   10.00|   14.5|         |-010525.6|002933.5|
|MCG+00-02-057 |00 29 40|+00 24.6|    7.00|   14.5|         |+002434.3|002939.7|
|MCG+00-02-058 |00 29 43|+01 51.6|    8.00|   15.0|         |+015134.3|002942.9|
|MCG+00-02-059 |00 29 46|+02 56.6|    9.00|   14.5|         |+025634.3|002946.1|
|MCG+00-02-060 |00 29 46|+00 09.6|    6.00|   14.5|         |+000934.3|002945.7|
|MCG+00-02-061 |00 29 46|-00 14.4|    3.00|   15.5|         |-001425.7|002945.6|
|MCG+00-02-062 |00 29 58|+03 31.6|   10.00|   15.5|         |+033134.2|002958.2|
|MCG+00-02-063 |00 30 07|+02 05.6|   18.00|   12.5|NGC  132 |+020534.1|003007.0|
|MCG+00-02-064 |00 31 13|-00 24.4|    8.00|   15.0|IC   25  |-002426.5|003112.6|
|MCG+00-02-065 |00 32 21|-01 45.5|    5.00|   15.0|         |-014527.2|003221.4|
|MCG+00-02-066 |00 32 28|+02 34.6|   12.00|   14.0|         |+023432.8|003228.1|
|MCG+00-02-067 |00 32 40|+01 27.5|   10.00|   15.0|         |+012732.6|003239.9|
|MCG+00-02-068 |00 32 42|-01 48.5|    7.00|   15.0|         |-014827.4|003242.4|
|MCG+00-02-069 |00 33 16|+00 12.5|    6.00|   15.0|         |+001232.3|003315.7|
|MCG+00-02-070 |00 33 22|-01 06.5|    6.00|   15.0|         |-010627.8|003321.5|
|MCG+00-02-071 |00 33 34|+02 41.5|   20.00|   14.0|         |+024132.1|003334.1|
|MCG+00-02-072 |00 34 12|-02 10.5|    6.00|   15.0|IC   29  |-021028.3|003412.3|
|MCG+00-02-073 |00 34 16|+02 27.5|    0.00|   15.5|         |+022731.7|003416.1|
|MCG+00-02-074 |00 34 15|-02 04.5|    4.00|   15.0|IC   30  |-020428.3|003415.3|
|MCG+00-02-075 |00 34 28|+03 36.5|   10.00|   15.0|         |+033631.5|003428.3|
|MCG+00-02-076 |00 34 28|+01 38.5|    4.00|   16.0|         |+013831.5|003427.9|
|MCG+00-02-077 |00 34 30|-02 13.5|    6.00|   17.0|         |-021328.5|003430.3|
|MCG+00-02-078 |00 34 34|+02 26.5|    6.00|   15.0|         |+022631.5|003434.1|
|MCG+00-02-079 |00 34 40|+01 49.5|    4.00|   16.0|         |+014931.4|003440.0|
|MCG+00-02-080 |00 35 00|-02 08.5|    4.00|   15.0|IC   32  |-020828.8|003500.3|
|MCG+00-02-081 |00 35 07|-00 07.5|    5.00|   15.5|         |-000728.9|003506.6|
|MCG+00-02-082 |00 35 06|-02 07.5|    5.00|   15.0|IC   33  |-020728.9|003506.3|
|MCG+00-02-083 |00 35 10|+03 25.5|    3.00|   16.0|         |+032531.1|003510.3|
|MCG+00-02-084 |00 35 10|+00 42.5|    7.50|   15.5|         |+004231.1|003509.8|
|MCG+00-02-085 |00 35 19|+03 24.5|    7.00|   15.0|         |+032431.0|003519.3|
|MCG+00-02-086 |00 35 22|+03 26.5|    8.00|   16.0|         |+032631.0|003522.3|
|MCG+00-02-087 |00 35 28|+02 56.5|    6.00|   14.5|         |+025630.9|003528.2|
|MCG+00-02-088 |00 35 58|+01 52.5|   10.00|   14.0|         |+015230.6|003558.0|
|MCG+00-02-089 |00 36 28|+02 45.5|    4.00|   16.0|NGC  164 |+024530.2|003628.2|
|MCG+00-02-090 |00 36 28|+02 26.5|   11.00|   15.0|         |+022630.2|003628.1|
|MCG+00-02-091 |00 36 43|+01 53.5|    0.00|   15.5|NGC  170 |+015330.1|003643.0|
|MCG+00-02-092 |00 37 10|+01 56.5|   27.00|   13.0|NGC  173 |+015629.8|003710.0|
|MCG+00-02-093 |00 37 27|-01 41.5|    8.00|   16.0|         |-014130.4|003727.4|
